ID_Venda,Data,Produto,Quantidade
1,2025-05-01,Cheeseburger,3
2,2025-05-01,Refrigerante,4
3,2025-05-01,Batata Frita,4
4,2025-05-01,Sorvete,4
5,2025-05-01,Brownie,2
6,2025-05-01,Cheeseburger,3
7,2025-05-01,Brownie,1
8,2025-05-01,Veggie Burger,2
9,2025-05-01,Sorvete,3
10,2025-05-01,Bacon Burger,1
11,2025-05-02,Batata Frita,3
12,2025-05-02,Refrigerante,2
13,2025-05-02,Refrigerante,4
14,2025-05-02,Bacon Burger,2
15,2025-05-02,Sorvete,4
16,2025-05-02,Refrigerante,2
17,2025-05-02,Cheeseburger,3
18,2025-05-02,Sorvete,4
19,2025-05-02,Brownie,4
20,2025-05-02,Milkshake,4
21,2025-05-02,Veggie Burger,3
22,2025-05-02,Cheeseburger,3
23,2025-05-02,Batata Frita,4
24,2025-05-02,Água,2
25,2025-05-02,Água,4
26,2025-05-02,Refrigerante,4
27,2025-05-02,Sorvete,4
28,2025-05-02,Brownie,1
29,2025-05-02,Batata Frita,3
30,2025-05-02,Batata Frita,2
31,2025-05-03,Sorvete,2
32,2025-05-03,Cheeseburger,2
33,2025-05-03,Sorvete,2
34,2025-05-03,Brownie,3
35,2025-05-03,Sorvete,4
36,2025-05-03,Batata Frita,4
37,2025-05-03,Batata Frita,2
38,2025-05-03,Sorvete,4
39,2025-05-03,Veggie Burger,2
40,2025-05-03,Refrigerante,2
41,2025-05-03,Veggie Burger,2
42,2025-05-03,Cheeseburger,3
43,2025-05-04,Onion Rings,2
44,2025-05-04,Bacon Burger,3
45,2025-05-04,Veggie Burger,2
46,2025-05-04,Onion Rings,3
47,2025-05-04,Sorvete,3
48,2025-05-04,Onion Rings,4
49,2025-05-04,Água,1
50,2025-05-04,Sorvete,3
51,2025-05-04,Milkshake,2
52,2025-05-04,Refrigerante,1
53,2025-05-05,Onion Rings,1
54,2025-05-05,Bacon Burger,4
55,2025-05-05,Veggie Burger,4
56,2025-05-05,Brownie,4
57,2025-05-05,Refrigerante,1
58,2025-05-05,Cheeseburger,1
59,2025-05-05,Milkshake,3
60,2025-05-05,Sorvete,3
61,2025-05-05,Refrigerante,4
62,2025-05-05,Cheeseburger,4
63,2025-05-05,Milkshake,1
64,2025-05-05,Bacon Burger,1
65,2025-05-05,Brownie,4
66,2025-05-05,Bacon Burger,2
67,2025-05-05,Milkshake,3
68,2025-05-05,Veggie Burger,2
69,2025-05-05,Batata Frita,1
70,2025-05-05,Veggie Burger,4
71,2025-05-05,Brownie,2
72,2025-05-05,Refrigerante,3
73,2025-05-06,Água,4
74,2025-05-06,Batata Frita,1
75,2025-05-06,Batata Frita,1
76,2025-05-06,Veggie Burger,1
77,2025-05-06,Onion Rings,4
78,2025-05-06,Sorvete,3
79,2025-05-06,Brownie,3
80,2025-05-06,Cheeseburger,2
81,2025-05-06,Batata Frita,3
82,2025-05-06,Refrigerante,2
83,2025-05-07,Brownie,1
84,2025-05-07,Cheeseburger,4
85,2025-05-07,Milkshake,3
86,2025-05-07,Onion Rings,2
87,2025-05-07,Milkshake,4
88,2025-05-07,Veggie Burger,1
89,2025-05-07,Água,3
90,2025-05-07,Cheeseburger,2
91,2025-05-07,Cheeseburger,4
92,2025-05-07,Veggie Burger,4
93,2025-05-07,Refrigerante,1
94,2025-05-07,Brownie,4
95,2025-05-07,Veggie Burger,3
96,2025-05-07,Onion Rings,2
97,2025-05-07,Brownie,1
98,2025-05-08,Veggie Burger,1
99,2025-05-08,Sorvete,4
100,2025-05-08,Refrigerante,2
101,2025-05-08,Cheeseburger,1
102,2025-05-08,Cheeseburger,1
103,2025-05-08,Batata Frita,3
104,2025-05-08,Água,2
105,2025-05-08,Cheeseburger,2
106,2025-05-08,Onion Rings,3
107,2025-05-08,Cheeseburger,3
108,2025-05-08,Onion Rings,4
109,2025-05-09,Batata Frita,3
110,2025-05-09,Milkshake,3
111,2025-05-09,Milkshake,2
112,2025-05-09,Milkshake,2
113,2025-05-09,Onion Rings,2
114,2025-05-09,Onion Rings,4
115,2025-05-09,Cheeseburger,3
116,2025-05-09,Batata Frita,4
117,2025-05-09,Brownie,4
118,2025-05-09,Batata Frita,2
119,2025-05-09,Refrigerante,1
120,2025-05-09,Onion Rings,1
121,2025-05-09,Água,2
122,2025-05-09,Refrigerante,4
123,2025-05-09,Água,2
124,2025-05-09,Veggie Burger,3
125,2025-05-09,Sorvete,1
126,2025-05-10,Milkshake,4
127,2025-05-10,Água,4
128,2025-05-10,Cheeseburger,3
129,2025-05-10,Água,3
130,2025-05-10,Sorvete,1
131,2025-05-10,Onion Rings,2
132,2025-05-10,Cheeseburger,4
133,2025-05-10,Batata Frita,2
134,2025-05-10,Brownie,3
135,2025-05-10,Água,1
136,2025-05-11,Milkshake,2
137,2025-05-11,Bacon Burger,1
138,2025-05-11,Milkshake,1
139,2025-05-11,Cheeseburger,1
140,2025-05-11,Refrigerante,2
141,2025-05-11,Bacon Burger,2
142,2025-05-11,Sorvete,4
143,2025-05-11,Batata Frita,4
144,2025-05-11,Onion Rings,2
145,2025-05-11,Cheeseburger,3
146,2025-05-11,Sorvete,1
147,2025-05-11,Bacon Burger,1
148,2025-05-11,Refrigerante,4
149,2025-05-11,Água,3
150,2025-05-11,Batata Frita,4
151,2025-05-11,Sorvete,2
152,2025-05-11,Cheeseburger,3
153,2025-05-11,Refrigerante,4
154,2025-05-11,Onion Rings,2
155,2025-05-11,Bacon Burger,4
156,2025-05-12,Veggie Burger,3
157,2025-05-12,Milkshake,3
158,2025-05-12,Veggie Burger,2
159,2025-05-12,Cheeseburger,4
160,2025-05-12,Milkshake,4
161,2025-05-12,Bacon Burger,2
162,2025-05-12,Veggie Burger,4
163,2025-05-12,Milkshake,2
164,2025-05-12,Brownie,2
165,2025-05-12,Batata Frita,3
166,2025-05-12,Milkshake,1
167,2025-05-12,Água,1
168,2025-05-12,Água,2
169,2025-05-12,Brownie,1
170,2025-05-12,Cheeseburger,2
171,2025-05-12,Sorvete,2
172,2025-05-13,Veggie Burger,2
173,2025-05-13,Refrigerante,4
174,2025-05-13,Refrigerante,3
175,2025-05-13,Bacon Burger,2
176,2025-05-13,Água,3
177,2025-05-13,Onion Rings,4
178,2025-05-13,Água,1
179,2025-05-13,Refrigerante,4
180,2025-05-14,Sorvete,2
181,2025-05-14,Refrigerante,4
182,2025-05-14,Milkshake,2
183,2025-05-14,Onion Rings,2
184,2025-05-14,Batata Frita,3
185,2025-05-14,Veggie Burger,4
186,2025-05-14,Onion Rings,4
187,2025-05-14,Milkshake,4
188,2025-05-14,Refrigerante,4
189,2025-05-14,Veggie Burger,4
190,2025-05-14,Onion Rings,3
191,2025-05-14,Brownie,1
192,2025-05-14,Onion Rings,4
193,2025-05-14,Bacon Burger,4
194,2025-05-14,Refrigerante,4
195,2025-05-14,Sorvete,2
196,2025-05-14,Refrigerante,4
197,2025-05-14,Brownie,3
198,2025-05-15,Bacon Burger,1
199,2025-05-15,Cheeseburger,1
200,2025-05-15,Veggie Burger,3
201,2025-05-15,Batata Frita,3
202,2025-05-15,Cheeseburger,1
203,2025-05-15,Onion Rings,3
204,2025-05-15,Onion Rings,4
205,2025-05-15,Brownie,2
206,2025-05-15,Refrigerante,4
207,2025-05-15,Refrigerante,2
208,2025-05-15,Refrigerante,4
209,2025-05-16,Cheeseburger,4
210,2025-05-16,Veggie Burger,3
211,2025-05-16,Água,3
212,2025-05-16,Batata Frita,1
213,2025-05-16,Refrigerante,2
214,2025-05-16,Batata Frita,4
215,2025-05-16,Sorvete,4
216,2025-05-16,Veggie Burger,4
217,2025-05-16,Refrigerante,1
