Data,Dia da Semana,Produto,Categoria,Quantidade Vendida
2024-10-01,Tuesday,Combo Hambúrguer + Batata,combo,53
2024-10-01,Tuesday,Hambúrguer Simples,burger,24
2024-10-01,Tuesday,Batata Frita,side,25
2024-10-01,Tuesday,Refrigerante,drink,24
2024-10-01,Tuesday,Milkshake,drink,19
2024-10-01,Tuesday,Sobremesa,dessert,6
2024-10-02,Wednesday,Combo Hambúrguer + Batata,combo,57
2024-10-02,Wednesday,Hambúrguer Simples,burger,37
2024-10-02,Wednesday,Batata Frita,side,27
2024-10-02,Wednesday,Refrigerante,drink,8
2024-10-02,Wednesday,Milkshake,drink,12
2024-10-02,Wednesday,Sobremesa,dessert,3
2024-10-03,Thursday,Combo Hambúrguer + Batata,combo,56
2024-10-03,Thursday,Hambúrguer Simples,burger,31
2024-10-03,Thursday,Batata Frita,side,20
2024-10-03,Thursday,Refrigerante,drink,22
2024-10-03,Thursday,Milkshake,drink,13
2024-10-03,Thursday,Sobremesa,dessert,6
2024-10-04,Friday,Combo Hambúrguer + Batata,combo,52
2024-10-04,Friday,Hambúrguer Simples,burger,30
2024-10-04,Friday,Batata Frita,side,19
2024-10-04,Friday,Refrigerante,drink,17
2024-10-04,Friday,Milkshake,drink,14
2024-10-04,Friday,Sobremesa,dessert,21
2024-10-05,Saturday,Combo Hambúrguer + Batata,combo,65
2024-10-05,Saturday,Hambúrguer Simples,burger,53
2024-10-05,Saturday,Batata Frita,side,36
2024-10-05,Saturday,Refrigerante,drink,33
2024-10-05,Saturday,Milkshake,drink,18
2024-10-05,Saturday,Sobremesa,dessert,16
2024-10-06,Sunday,Combo Hambúrguer + Batata,combo,68
2024-10-06,Sunday,Hambúrguer Simples,burger,41
2024-10-06,Sunday,Batata Frita,side,34
2024-10-06,Sunday,Refrigerante,drink,25
2024-10-06,Sunday,Milkshake,drink,23
2024-10-06,Sunday,Sobremesa,dessert,9
2024-10-07,Monday,Combo Hambúrguer + Batata,combo,51
2024-10-07,Monday,Hambúrguer Simples,burger,21
2024-10-07,Monday,Batata Frita,side,18
2024-10-07,Monday,Refrigerante,drink,23
2024-10-07,Monday,Milkshake,drink,12
2024-10-07,Monday,Sobremesa,dessert,5
2024-10-08,Tuesday,Combo Hambúrguer + Batata,combo,50
2024-10-08,Tuesday,Hambúrguer Simples,burger,21
2024-10-08,Tuesday,Batata Frita,side,30
2024-10-08,Tuesday,Refrigerante,drink,16
2024-10-08,Tuesday,Milkshake,drink,13
2024-10-08,Tuesday,Sobremesa,dessert,1
2024-10-09,Wednesday,Combo Hambúrguer + Batata,combo,52
2024-10-09,Wednesday,Hambúrguer Simples,burger,22
2024-10-09,Wednesday,Batata Frita,side,32
2024-10-09,Wednesday,Refrigerante,drink,20
2024-10-09,Wednesday,Milkshake,drink,13
2024-10-09,Wednesday,Sobremesa,dessert,11
2024-10-10,Thursday,Combo Hambúrguer + Batata,combo,47
2024-10-10,Thursday,Hambúrguer Simples,burger,28
2024-10-10,Thursday,Batata Frita,side,16
2024-10-10,Thursday,Refrigerante,drink,30
2024-10-10,Thursday,Milkshake,drink,5
2024-10-10,Thursday,Sobremesa,dessert,5
2024-10-11,Friday,Combo Hambúrguer + Batata,combo,58
2024-10-11,Friday,Hambúrguer Simples,burger,30
2024-10-11,Friday,Batata Frita,side,28
2024-10-11,Friday,Refrigerante,drink,12
2024-10-11,Friday,Milkshake,drink,23
2024-10-11,Friday,Sobremesa,dessert,13
2024-10-12,Saturday,Combo Hambúrguer + Batata,combo,103
2024-10-12,Saturday,Hambúrguer Simples,burger,65
2024-10-12,Saturday,Batata Frita,side,57
2024-10-12,Saturday,Refrigerante,drink,38
2024-10-12,Saturday,Milkshake,drink,35
2024-10-12,Saturday,Sobremesa,dessert,20
2024-10-13,Sunday,Combo Hambúrguer + Batata,combo,78
2024-10-13,Sunday,Hambúrguer Simples,burger,48
2024-10-13,Sunday,Batata Frita,side,35
2024-10-13,Sunday,Refrigerante,drink,30
2024-10-13,Sunday,Milkshake,drink,26
2024-10-13,Sunday,Sobremesa,dessert,21
2024-10-14,Monday,Combo Hambúrguer + Batata,combo,51
2024-10-14,Monday,Hambúrguer Simples,burger,27
2024-10-14,Monday,Batata Frita,side,25
2024-10-14,Monday,Refrigerante,drink,20
2024-10-14,Monday,Milkshake,drink,20
2024-10-14,Monday,Sobremesa,dessert,13
2024-10-15,Tuesday,Combo Hambúrguer + Batata,combo,50
2024-10-15,Tuesday,Hambúrguer Simples,burger,38
2024-10-15,Tuesday,Batata Frita,side,27
2024-10-15,Tuesday,Refrigerante,drink,22
2024-10-15,Tuesday,Milkshake,drink,16
2024-10-15,Tuesday,Sobremesa,dessert,3
2024-10-16,Wednesday,Combo Hambúrguer + Batata,combo,53
2024-10-16,Wednesday,Hambúrguer Simples,burger,29
2024-10-16,Wednesday,Batata Frita,side,25
2024-10-16,Wednesday,Refrigerante,drink,23
2024-10-16,Wednesday,Milkshake,drink,10
2024-10-16,Wednesday,Sobremesa,dessert,0
2024-10-17,Thursday,Combo Hambúrguer + Batata,combo,47
2024-10-17,Thursday,Hambúrguer Simples,burger,27
2024-10-17,Thursday,Batata Frita,side,33
2024-10-17,Thursday,Refrigerante,drink,15
2024-10-17,Thursday,Milkshake,drink,17
2024-10-17,Thursday,Sobremesa,dessert,15
2024-10-18,Friday,Combo Hambúrguer + Batata,combo,52
2024-10-18,Friday,Hambúrguer Simples,burger,33
2024-10-18,Friday,Batata Frita,side,25
2024-10-18,Friday,Refrigerante,drink,20
2024-10-18,Friday,Milkshake,drink,22
2024-10-18,Friday,Sobremesa,dessert,14
2024-10-19,Saturday,Combo Hambúrguer + Batata,combo,79
2024-10-19,Saturday,Hambúrguer Simples,burger,44
2024-10-19,Saturday,Batata Frita,side,30
2024-10-19,Saturday,Refrigerante,drink,32
2024-10-19,Saturday,Milkshake,drink,29
2024-10-19,Saturday,Sobremesa,dessert,13
2024-10-20,Sunday,Combo Hambúrguer + Batata,combo,68
2024-10-20,Sunday,Hambúrguer Simples,burger,44
2024-10-20,Sunday,Batata Frita,side,40
2024-10-20,Sunday,Refrigerante,drink,32
